p,propLabel,eff
http://www.wikidata.org/prop/direct/P13051,CIRDOC author ID,381
http://www.wikidata.org/prop/direct/P2604,Kinopoisk person ID,376
http://www.wikidata.org/prop/direct/P1430,Open Plaques subject ID,368
http://www.wikidata.org/prop/direct/P4104,Carnegie Hall agent ID,366
http://www.wikidata.org/prop/direct/P5063,Interlingual Index ID,364
http://www.wikidata.org/prop/direct/P549,Mathematics Genealogy Project ID,362
http://www.wikidata.org/prop/direct/P5645,Académie française award winner ID,361
http://www.wikidata.org/prop/direct/P6745,Orlando author ID,359
http://www.wikidata.org/prop/direct/P2383,CTHS person ID,357
http://www.wikidata.org/prop/direct/P3919,contributed to creative work,356
http://www.wikidata.org/prop/direct/P7578,DUC ID,355
http://www.wikidata.org/prop/direct/P3782,Artnet artist ID,353
http://www.wikidata.org/prop/direct/P9164,Svenska Institutet i Rom ID,352
http://www.wikidata.org/prop/direct/P9081,SEARCH on line catalogue ID,351
http://www.wikidata.org/prop/direct/P8094,GeneaStar person ID,349
http://www.wikidata.org/prop/direct/P4343,WBPLN author ID,347
http://www.wikidata.org/prop/direct/P9223,Provenio UUID,340
http://www.wikidata.org/prop/direct/P7929,Roglo person ID,338
http://www.wikidata.org/prop/direct/P1819,genealogics.org person ID,333
http://www.wikidata.org/prop/direct/P8833,Union Catalog of Armenian Libraries authority ID,327
http://www.wikidata.org/prop/direct/P2605,ČSFD person ID,325
http://www.wikidata.org/prop/direct/P650,RKDartists ID,322
http://www.wikidata.org/prop/direct/P53,family,320
http://www.wikidata.org/prop/direct/P4432,Artists of the World ID,320
http://www.wikidata.org/prop/direct/P7918,Médias 19 ID,320
http://www.wikidata.org/prop/direct/P11155,Municipal Library of Trikala ID,318
http://www.wikidata.org/prop/direct/P2019,AllMovie person ID,316
http://www.wikidata.org/prop/direct/P7026,Lebanese National Library ID,314
http://www.wikidata.org/prop/direct/P4539,Collective Biographies of Women ID,310
http://www.wikidata.org/prop/direct/P2381,Academic Tree ID,308
http://www.wikidata.org/prop/direct/P7545,askArt person ID,307
http://www.wikidata.org/prop/direct/P2168,Swedish Film Database person ID,306
http://www.wikidata.org/prop/direct/P8814,WordNet 3.1 Synset ID,297
http://www.wikidata.org/prop/direct/P1986,Treccani's Biographical Dictionary of Italian People ID,291
http://www.wikidata.org/prop/direct/P1299,depicted by,288
http://www.wikidata.org/prop/direct/P6683,Alexander Turnbull Library ID,284
http://www.wikidata.org/prop/direct/P2435,PORT person ID,280
http://www.wikidata.org/prop/direct/P8081,WBIS ID,280
http://www.wikidata.org/prop/direct/P5909,HKCAN ID,277
http://www.wikidata.org/prop/direct/P7842,Vienna History Wiki ID,276
http://www.wikidata.org/prop/direct/P7208,Liber Liber author ID,273
http://www.wikidata.org/prop/direct/P9044,GEPRIS Historisch person ID,273
http://www.wikidata.org/prop/direct/P10033,Biografija.ru ID,273
http://www.wikidata.org/prop/direct/P9212,Dizionario biografico online degli anarchici italiani ID,271
http://www.wikidata.org/prop/direct/P10069,Tabakalera ID,271
http://www.wikidata.org/prop/direct/P10883,The Encyclopedia of Fantasy ID,271
http://www.wikidata.org/prop/direct/P1950,second family name in Spanish name,268
http://www.wikidata.org/prop/direct/P1670,Canadiana Authorities ID (former scheme),266
http://www.wikidata.org/prop/direct/P5441,Encyclopaedia Herder person ID,266
http://www.wikidata.org/prop/direct/P5459,RHE doctor ID,265
http://www.wikidata.org/prop/direct/P5821,ArhivX LOD,264
http://www.wikidata.org/prop/direct/P9322,SVKKL authority ID,264
http://www.wikidata.org/prop/direct/P1266,AlloCiné person ID,262
http://www.wikidata.org/prop/direct/P1617,BBC Things ID,262
