,personUri,personLabel,birthYear,gender,countries,continents,occupations,fields
15034,http://www.wikidata.org/entity/Q61063766,Mariateresa Fumagalli Beonio Brocchieri,1933,female,Kingdom of Italy,Europe,"historian, medievalist, philosopher, university teacher","Middle Ages, history of philosophy, medieval studies"
15038,http://www.wikidata.org/entity/Q97403,Evangelos Konstantinou,1933,male,Germany,Europe,"historian, university teacher","Byzantine Empire, philosophy"
15044,http://www.wikidata.org/entity/Q1324154,Peter Ruben,1933,male,German Democratic Republic,Europe,"philosopher, university teacher","dialectical materialism, philosophy"
15056,http://www.wikidata.org/entity/Q15525023,Neil Gillman,1933,male,United States,North America,"philosopher, rabbi, theologian, university teacher","Jewish philosophy, Judaism"
15059,http://www.wikidata.org/entity/Q2080045,Petr Pokorný,1933,male,Czechoslovakia,Europe,"historian, parson, philosopher, theologian, translator, university teacher","Early Christianity, Protestant theology, biblical studies, philosophy, translations from Greek"
15060,http://www.wikidata.org/entity/Q1996479,Oleksiy Onyschenko,1933,male,Ukraine,Europe,"cultural studies scholar, historian, philosopher","culturology, history, philosophy"
15061,http://www.wikidata.org/entity/Q7050109,Nora Johnson,1933,female,United States,North America,"essayist, literary critic, memoirist, novelist, screenwriter",essay
15062,http://www.wikidata.org/entity/Q808746,Rudi van Dantzig,1933,male,Kingdom of the Netherlands,Europe,"choreographer, dancer, screenwriter, writer","ballet, choreography, dance, literature"
15073,http://www.wikidata.org/entity/Q319447,Jerzy Kosiński,1933,male,United States,North America,"essayist, novelist, screenwriter, writer",literature
15075,http://www.wikidata.org/entity/Q3170789,Jean Biès,1933,male,France,Europe,"philosopher, poet, university teacher, writer","literature, philosophy, poetry"
15086,http://www.wikidata.org/entity/Q3181464,John F. Wippel,1933,male,United States,North America,"Catholic priest, philosopher, theologian, university teacher","philosophy, theology"
15087,http://www.wikidata.org/entity/Q1105105,Endre Karátson,1933,male,Hungary,Europe,"critic, literary critic, literary scholar, university teacher, writer",literature
15089,http://www.wikidata.org/entity/Q93761,Verlyn Flieger,1933,female,United States,North America,"editor, pedagogue, university teacher, writer","literature, pedagogy"
15092,http://www.wikidata.org/entity/Q2482754,Sonia Garmers,1933,female,Kingdom of the Netherlands,Europe,writer,"creative and professional writing, literature"
15093,http://www.wikidata.org/entity/Q3560452,Violette Verdy,1933,female,France,Europe,"choreographer, music educator, university teacher, writer","ballet, choreography, dance, literature, pedagogy"
15095,http://www.wikidata.org/entity/Q3767226,Giovanni Ferretti,1933,male,Italy,Europe,"Catholic priest, philosopher, teacher, university teacher",philosophy
15096,http://www.wikidata.org/entity/Q1604056,Helmut Richter,1933,male,German Democratic Republic,Europe,"literary scholar, poet, screenwriter, writer","literature, poetry"
15101,http://www.wikidata.org/entity/Q1301600,Lewis S. Ford,1933,male,United States,North America,"philosopher, theologian, university teacher","philosophy, theology"
15102,http://www.wikidata.org/entity/Q2591756,Wolfgang Wieland,1933,male,Germany,Europe,"philosopher, physician, university teacher","philosophy, philosophy of medicine"
15103,http://www.wikidata.org/entity/Q555545,Michel del Castillo,1933,male,France,Europe,"biographer, writer","creative and professional writing, literature"
15105,http://www.wikidata.org/entity/Q1215607,Norman Rush,1933,male,United States,North America,"novelist, writer","creative and professional writing, literature"
15108,http://www.wikidata.org/entity/Q506231,Michael Frayn,1933,male,United Kingdom,Europe,"journalist, novelist, playwright, science fiction writer, screenwriter, television writer, translator, writer","drama, film screenwriting, journalism, prose, television screenwriting, translation"
15115,http://www.wikidata.org/entity/Q77482,Peter Härtling,1933,male,Germany,Europe,"essayist, journalist, literary critic, playwright, poet, radio personality, writer","journalism, literature"
15116,http://www.wikidata.org/entity/Q1758117,Mahmoud Zakzouk,1933,male,Kingdom of Egypt,Africa,"philosopher, politician, university teacher, writer","Islam, philosophy, politics"
15120,http://www.wikidata.org/entity/Q17992889,Girolamo Cotroneo,1934,male,Kingdom of Italy,Europe,"philosopher, university teacher",history of philosophy
15122,http://www.wikidata.org/entity/Q5572772,Petter Bergman,1934,male,Sweden,Europe,"literary critic, poet, translator","literary criticism, literature, poetry"
15133,http://www.wikidata.org/entity/Q2502987,Ute Guzzoni,1934,female,Germany,Europe,"philosopher, university teacher",philosophy
15142,http://www.wikidata.org/entity/Q260572,Inge Auerbacher,1934,female,United States,North America,"autobiographer, chemist, writer","The Holocaust, chemistry, literature"
15144,http://www.wikidata.org/entity/Q11729914,Józef Bańka,1934,male,Poland,Europe,"philosopher, university teacher",university teacher
15146,http://www.wikidata.org/entity/Q1441567,Francis Jacques,1934,male,France,Europe,"pedagogue, philosopher","philosophy, theology"
15148,http://www.wikidata.org/entity/Q736570,N. Scott Momaday,1934,male,United States,North America,"novelist, poet, university teacher, writer",English literature
15151,http://www.wikidata.org/entity/Q463319,Audre Lorde,1934,female,Gibraltar,Europe,"essayist, feminist, librarian, novelist, philosopher, poet, teacher, university teacher, women's rights activist, writer","African American literature, African American poetry, activism, feminism, feminism and literature, lesbianism, poetry"
15156,http://www.wikidata.org/entity/Q1889365,Manfred Freitag,1934,male,Germany,Europe,"screenwriter, writer","film, literature"
15157,http://www.wikidata.org/entity/Q3300608,Maurice Coyaud,1934,male,France,Europe,"linguist, orientalist, translator, writer","linguistics, literature, oriental studies, sinology, translation"
15160,http://www.wikidata.org/entity/Q1603721,Helmut Junker,1934,male,Germany,Europe,"translator, writer","literature, psychoanalysis, translation"
15161,http://www.wikidata.org/entity/Q1457925,Friedrich-Wilhelm von Herrmann,1934,male,Germany,Europe,"philosopher, university teacher","hermeneutics, phenomenology, philosophy"
15162,http://www.wikidata.org/entity/Q116055,Helena Araújo,1934,female,Colombia,South America,"essayist, literary critic, novelist, university teacher, writer","Colombian literature, Latin American literature, Latino literature, belletristic literature, essay, feminism, gender studies, literary criticism, literature written by women"
15166,http://www.wikidata.org/entity/Q1356749,Ernesto Gastaldi,1934,male,Italy,Europe,"director, film director, science fiction writer, screenwriter, writer","film, literature"
15171,http://www.wikidata.org/entity/Q311253,Harlan Ellison,1934,male,United States,North America,"editor, film critic, journalist, literary critic, novelist, science fiction writer, screenwriter, writer","fantasy literature, science fiction, science fiction literature, television screenwriting"
15177,http://www.wikidata.org/entity/Q378416,Sérgio Paulo Rouanet,1934,male,Brazil,South America,"anthropologist, author, diplomat, economist, philosopher, politician, translator","anthropology, diplomacy, philosophy, translating activity"
15179,http://www.wikidata.org/entity/Q3754167,Fulco Pratesi,1934,male,Italy,Europe,"architect, environmentalist, illustrator, journalist, politician, writer","architecture, book illustration, ecology, environmental journalism, journalism, literature, nature conservation, politics"
15184,http://www.wikidata.org/entity/Q12741132,Sorin Vieru,1934,male,Romania,Europe,"opinion journalist, philosopher","opinion journalism, philosophy"
15187,http://www.wikidata.org/entity/Q267691,Joan Didion,1934,female,United States,North America,"essayist, journalist, novelist, screenwriter, writer","creative and professional writing, film screenwriting, journalism"
15190,http://www.wikidata.org/entity/Q4415063,Sergey Semanov,1934,male,Soviet Union,Europe,"historian, literary scholar, opinion journalist, writer","history, history of Russia, literature"
15193,http://www.wikidata.org/entity/Q89656990,Juan Martín Velasco,1934,male,Spain,Europe,"Catholic priest, philosopher, university teacher",phenomenology of religion
15197,http://www.wikidata.org/entity/Q1220161,Tamás Nádor,1934,male,Hungary,Europe,"journalist, writer","journalism, literature, radio, radio broadcasting"
15198,http://www.wikidata.org/entity/Q65401,Pirkko-Liisa Lehtosalo-Hilander,1934,female,Finland,Europe,"archaeologist, philosopher","archaeology, ethnography, history of costume, philosophy"
15200,http://www.wikidata.org/entity/Q452238,Yvonne Rainer,1934,female,United States,North America,"artist, choreographer, dancer, film director, filmmaker, screenwriter","choreography, cinematography, dance, literature"
15207,http://www.wikidata.org/entity/Q270735,Susan George,1934,female,United States,North America,"academic, activist, economist, philosopher, political scientist, sociologist, writer","philosophy, political science, sociology"
15209,http://www.wikidata.org/entity/Q505876,Francisco J. Ayala,1934,male,United States,North America,"biologist, philosopher, university teacher","molecular biology, population genetics"
15211,http://www.wikidata.org/entity/Q316165,Jan Švankmajer,1934,male,Czechoslovakia,Europe,"director, draftsperson, film director, graphic artist, painter, photographer, poet, screenwriter, sculptor","film, literature, visual arts"
15212,http://www.wikidata.org/entity/Q180893,Jaegwon Kim,1934,male,United States,North America,"philosopher, university teacher","epistemology, philosophy, philosophy of mind, philosophy of science"
15215,http://www.wikidata.org/entity/Q729121,Alasdair Gray,1934,male,United Kingdom,Europe,"illustrator, novelist, painter, poet, science fiction writer, screenwriter, visual artist, writer","literature, visual arts"
15218,http://www.wikidata.org/entity/Q918625,Edward Bond,1934,male,United Kingdom,Europe,"director, playwright, poet, screenwriter, theatrical director, writer","creative and professional writing, dramatic game, literature"
15221,http://www.wikidata.org/entity/Q1457654,Friedo Ricken,1934,male,Germany,Europe,"philosopher, university teacher","Catholic theology, ethics, philosophy, philosophy of religion"
15226,http://www.wikidata.org/entity/Q6758404,Marcus Raskin,1934,male,United States,North America,"philosopher, political activist, writer","philosophy, political activity, social criticism"
15227,http://www.wikidata.org/entity/Q7878672,Uladzimir Konan,1934,male,Soviet Union,Europe,"historian, literary critic, literary scholar, philosopher","history, literary criticism, philosophy"
15233,http://www.wikidata.org/entity/Q9292876,Lin Yusheng,1934,male,Taiwan,Asia,"philosopher, university teacher","civil society, history, philosophy"
15241,http://www.wikidata.org/entity/Q473518,Enrique Dussel,1934,male,Argentina,South America,"church historian, historian, philosopher, theologian, university teacher","Latin American philosophy, ethics, history, philosophy, political philosophy, theology"
15242,http://www.wikidata.org/entity/Q1435905,Jonathan Miller,1934,male,United Kingdom,Europe,"actor, director, film director, neurologist, physician, producer, television presenter, theatrical director, writer","acting, directing, literature, opera directing, television"
15256,http://www.wikidata.org/entity/Q2662619,Krzysztof Pomian,1934,male,Poland,Europe,"historian, medievalist, philosopher, writer",philosophy
15257,http://www.wikidata.org/entity/Q124308138,George Mendoza,1934,male,United States,North America,"journalist, poet, screenwriter, writer","journalism, literature, poetry"
15259,http://www.wikidata.org/entity/Q3805637,Jack Richardson,1934,male,United States,North America,"playwright, writer","drama, literature"
15260,http://www.wikidata.org/entity/Q316147,Mihaly Csikszentmihalyi,1934,male,United States,North America,"philosopher, psychologist, university teacher","philosopher, positive psychology, psychology"
15262,http://www.wikidata.org/entity/Q4973920,Bronislovas Genzelis,1934,male,Lithuania,Europe,"philosopher, politician, university teacher",philosophy
15265,http://www.wikidata.org/entity/Q742412,György Márkus,1934,male,Hungary,Europe,"cultural studies scholar, philosopher, university teacher","cultural system, culturology, philosophy"
15268,http://www.wikidata.org/entity/Q463151,Pierre Clastres,1934,male,France,Europe,"anthropologist, ethnologist, philosopher, professor","anthropology, ethnology"
15270,http://www.wikidata.org/entity/Q410,Carl Sagan,1934,male,United States,North America,"astronomer, astrophysicist, naturalist, non-fiction writer, novelist, physicist, science communicator, science fiction writer, science writer, screenwriter, television presenter, university teacher, writer","astrobiology, astronomy, astrophysics, planetary science, popular science, scientific skepticism"
15271,http://www.wikidata.org/entity/Q41488,Wole Soyinka,1934,male,Nigeria,Africa,"essayist, novelist, philosopher, playwright, poet, professor, translator, writer",performing arts
15274,http://www.wikidata.org/entity/Q360292,Kir Bulychev,1934,male,Soviet Union,Europe,"historian, literary scholar, orientalist, playwright, science fiction writer, screenwriter, translator, writer",literature
15283,http://www.wikidata.org/entity/Q3157797,Jacqueline Russ,1934,female,France,Europe,"philosopher, university teacher",philosophy
15299,http://www.wikidata.org/entity/Q11836734,Tadeusz Marcin Chabrowski,1934,male,Poland,Europe,"classical philologist, cultural studies scholar, opinion journalist, philosopher, poet, sociologist, university teacher","Catholic theology, Latin, culturology, opinion journalism, optics, philosophy, poetry, sociology"
15300,http://www.wikidata.org/entity/Q347362,Fredric Jameson,1934,male,United States,North America,"editor, essayist, journalist, literary critic, philosopher, political scientist, politician, professor, sociologist, teacher, university teacher, writer","Marxism, literary criticism, philosophy, political theory"
15302,http://www.wikidata.org/entity/Q1468872,Fritz Werf,1934,male,Germany,Europe,"pedagogue, translator, writer",literature
15303,http://www.wikidata.org/entity/Q1629480,Horst Hussel,1934,male,German Democratic Republic,Europe,"draftsperson, graphic artist, illustrator, photographer, writer","graphics, illustration, literature"
15304,http://www.wikidata.org/entity/Q62392255,Colette Sirat,1934,female,France,Europe,"Judaic scholar, medievalist, philosopher","Hebrew manuscript, medieval manuscript, palaeography"
15309,http://www.wikidata.org/entity/Q2324263,Abel Posse,1934,male,Argentina,South America,"diplomat, essayist, politician, university teacher, writer","diplomacy, essay, literature"
15311,http://www.wikidata.org/entity/Q266481,Cláudio Hummes,1934,male,Brazil,South America,"Catholic bishop, Catholic priest, monk, philosopher, priest, theologian, university teacher","Catholicism, pastoral care"
15312,http://www.wikidata.org/entity/Q123319,Kaplan Burović,1934,male,Switzerland,Europe,"dissident, journalist, opinion journalist, writer","Balkan studies, journalism, literature, opinion journalism"
15316,http://www.wikidata.org/entity/Q4404776,Vadim Sadovsky,1934,male,Soviet Union,Europe,"academic, philosopher, scientist, university teacher","logic, philosophy, philosophy and science, philosophy of science, science communication"
15319,http://www.wikidata.org/entity/Q1446802,Johannes Kühn,1934,male,Germany,Europe,"painter, playwright, poet, writer","creative and professional writing, literature, poetry"
15320,http://www.wikidata.org/entity/Q504945,Carlos Amigo Vallejo,1934,male,Spain,Europe,"Catholic bishop, Catholic priest, philosopher, theologian","Catholic Church, Christian literature, Christianity and Islam, pastoral care"
15321,http://www.wikidata.org/entity/Q64577,Peter Berling,1934,male,Germany,Europe,"actor, biographer, film actor, film producer, novelist, screenwriter, writer","acting, astrology, filmmaking, historical novel, literary activity"
15322,http://www.wikidata.org/entity/Q11685927,Andrzej Kasia,1934,male,Poland,Europe,"historian, philosopher","historiography, philosophy"
15328,http://www.wikidata.org/entity/Q96087,Dieter Schlesak,1934,male,Romania,Europe,"editor, germanist, novelist, poet, teacher, translator, writer",German studies
15329,http://www.wikidata.org/entity/Q5292818,Don Ihde,1934,male,United States,North America,"philosopher, university teacher","phenomenology, philosophy, philosophy of science, philosophy of technology"
15330,http://www.wikidata.org/entity/Q559409,Piers Anthony,1934,male,United States,North America,"novelist, science fiction writer, writer",literature
15331,http://www.wikidata.org/entity/Q3167862,Jean-Marie Vincent,1934,male,France,Europe,"philosopher, political scientist","Marxism, philosophy, political science"
15333,http://www.wikidata.org/entity/Q1582210,Hans Saner,1934,male,Switzerland,Europe,"author, docent, germanist, non-fiction writer, opinion journalist, philosopher, university teacher, writer","opinion journalism, philosophy, philosophy of culture"
15335,http://www.wikidata.org/entity/Q354783,Amiri Baraka,1934,male,United States,North America,"activist, critic, essayist, journalist, music critic, novelist, playwright, poet, prose writer, screenwriter, writer","drama, jazz, literature, music criticism, poetry"
15340,http://www.wikidata.org/entity/Q9382775,Włodzimierz Pawluczuk,1934,male,Poland,Europe,"anthropologist, ethnologist, philosopher, religious studies scholar, sociologist, writer","anthropology, ethnology, literature, philosophy, religious studies, sociology"
15344,http://www.wikidata.org/entity/Q457158,Q457158,1934,male,Spain,Europe,"diplomat, pharmacist, poet, politician, university teacher, writer","literature, pharmacy, poet, politician, politics, scientist"
15345,http://www.wikidata.org/entity/Q7825642,Tore Nordenstam,1934,male,Sweden,Europe,"philosopher, university teacher","analytic philosophy, ethics, philosophy"
15350,http://www.wikidata.org/entity/Q62066446,Q62066446,1934,male,Pakistan,Asia,"philosopher, poet, professor","Islamic philosophy, Na'at, aesthetics, ghazal, tafsir, travel book"
15355,http://www.wikidata.org/entity/Q104176110,Pierre Thibault,1934,male,Canada,North America,"philosopher, university teacher",Thomism
15356,http://www.wikidata.org/entity/Q65167196,Jerzy Ochmann,1934,male,Poland,Europe,"philosopher, religious studies scholar, university teacher","Jewish philosophy, Jewish studies, philosophy of religion, religious studies"
15359,http://www.wikidata.org/entity/Q1276,Leonard Cohen,1934,male,Canada,North America,"author, draftsperson, film actor, lyricist, musician, novelist, pianist, poet, screenwriter, singer, writer","music, poetry"
15360,http://www.wikidata.org/entity/Q214798,Sonia Levitin,1934,female,United States,North America,"essayist, novelist, writer",essay
15362,http://www.wikidata.org/entity/Q10306467,Javier Hervada,1934,male,Spain,Europe,"Christian theologian, jurist, philosopher, university teacher, writer","canon law, natural law, philosophy of law"
15364,http://www.wikidata.org/entity/Q62239,Oskar Negt,1934,male,Germany,Europe,"philosopher, sociologist, university teacher","philosophy, political science, social philosophy, sociology"
15373,http://www.wikidata.org/entity/Q7196972,Piotr Lenartowicz,1934,male,Poland,Europe,"philosopher, physician",philosophy
15376,http://www.wikidata.org/entity/Q4304936,Nelly V. Motroshilova,1934,female,Soviet Union,Europe,"philosopher, university teacher","history of philosophy, philosophy"
15382,http://www.wikidata.org/entity/Q122615,Manfred Bieler,1934,male,Czechoslovakia,Europe,"playwright, screenwriter, writer","film screenwriting, literature, radio drama, radio writing, television production, television screenwriting"
15387,http://www.wikidata.org/entity/Q4664748,Abdel Hakim Qasem,1934,male,Egypt,Africa,"journalist, novelist, political activist, writer","journalism, literature, political activity"
15391,http://www.wikidata.org/entity/Q2650341,Alois Maria Haas,1934,male,Switzerland,Europe,"germanist, philologist, university teacher, writer","German studies, Germanic philology, literary studies, mysticism, philosophy"
15395,http://www.wikidata.org/entity/Q706668,Ronald Harwood,1934,male,Union of South Africa,Africa,"film producer, novelist, playwright, screenwriter, stage actor, writer","drama, film screenwriting, literary activity, performing arts, television screenwriting, theatre"
15403,http://www.wikidata.org/entity/Q6873187,Mireya Robles,1934,female,Cuba,North America,"literary critic, novelist, painter, poet, university teacher, writer","belletristic literature, literary criticism, literary studies"
15404,http://www.wikidata.org/entity/Q1159128,Dan Miron,1934,male,Israel,Asia,"literary critic, literary scholar, translator, writer",literature
15406,http://www.wikidata.org/entity/Q287567,Bertell Ollman,1935,male,United States,North America,"philosopher, political scientist, sociologist, university teacher","Marxism, dialectic, philosophy, politics"
15408,http://www.wikidata.org/entity/Q739129,Shūji Terayama,1935,male,Japan,Asia,"actor, director, film director, lyricist, novelist, photographer, playwright, poet, screenwriter, songwriter, writer","directing, drama, literature, theatre"
15410,http://www.wikidata.org/entity/Q7049549,Yirmiyahu Yovel,1935,male,Israel,Asia,"philosopher, translator, writer","German philosophy, Jewish philosophy, philosophy, philosophy of history"
15415,http://www.wikidata.org/entity/Q4527360,Q4527360,1935,male,Ukraine,Europe,"director, dramaturge, journalist, screenwriter, translator, university teacher, writer","film, journalism, literature, pedagogy, translating activity"
15416,http://www.wikidata.org/entity/Q298334,Thomas Keneally,1935,male,Australia,Oceania,"actor, author, novelist, playwright, writer",literature
15419,http://www.wikidata.org/entity/Q2475759,Ulrich Faust,1935,male,Germany,Europe,"Catholic priest, librarian, philosopher, theologian, university teacher","philosophy, theology"
15420,http://www.wikidata.org/entity/Q9324890,Ryszard Palacz,1935,male,Poland,Europe,"philosopher, university teacher","history of philosophy, philosophy"
15428,http://www.wikidata.org/entity/Q4973999,Bronius Kuzmickas,1935,male,Lithuania,Europe,"philosopher, politician, university teacher","philosophy, politics"
15430,http://www.wikidata.org/entity/Q244390,Ken Kesey,1935,male,United States,North America,"essayist, novelist, writer","literature, postmodern literature"
15436,http://www.wikidata.org/entity/Q6182538,Jerome A. Stone,1935,male,United States,North America,"academic, theologian, university teacher","ethics, natural theology, philosophy, racism, religion"
15437,http://www.wikidata.org/entity/Q2040386,René Zavaleta Mercado,1935,male,Bolivia,South America,"philosopher, politician, sociologist, university teacher","philosophy, politics, sociology"
15443,http://www.wikidata.org/entity/Q110086675,Gérald Berthoud,1935,male,Switzerland,Europe,"anthropologist, philosopher, teacher",anthropology
15446,http://www.wikidata.org/entity/Q984098,Christos Yannaras,1935,male,Greece,Europe,"philosopher, theologian, university teacher, writer","literary activity, philosophy, theology"
15448,http://www.wikidata.org/entity/Q3084656,François Fédier,1935,male,France,Europe,"philosopher, professor, translator, university teacher","philosophy, translation from German"
15450,http://www.wikidata.org/entity/Q95332547,Ladislav Major,1935,male,Hungary,Europe,"philosopher, university teacher",history of philosophy
15453,http://www.wikidata.org/entity/Q70521,Hans Lenk,1935,male,Germany,Europe,"philosopher, sociologist, university teacher","philosophy, social philosophy, sociology"
15454,http://www.wikidata.org/entity/Q4514243,Valentin Chernykh,1935,male,Soviet Union,Europe,"actor, film director, film producer, manufacturer, pedagogue, playwright, screenwriter, teacher, writer","film, literature, theatre"
15456,http://www.wikidata.org/entity/Q546275,Ellen Gilchrist,1935,female,United States,North America,"journalist, novelist, poet, writer","creative and professional writing, poetry, short story"
15457,http://www.wikidata.org/entity/Q1734613,Renate Rasp,1935,female,Germany,Europe,"novelist, poet, writer",literature
15460,http://www.wikidata.org/entity/Q1515951,Lorenz Bruno Puntel,1935,male,Germany,Europe,"philosopher, theologian, university teacher","Catholic theology, philosophy"
15465,http://www.wikidata.org/entity/Q5998060,Mariano Álvarez Gómez,1935,male,Spain,Europe,"metaphysician, university teacher",philosophy
15466,http://www.wikidata.org/entity/Q53363277,Wojciech Pasterniak,1935,male,Poland,Europe,"pedagogue, philologist, philosopher, university teacher","pedagogy, philology, philosophy of education, subject didactics"
15470,http://www.wikidata.org/entity/Q1312834,Lothar Steiger,1935,male,Germany,Europe,"philosopher, university teacher","Protestant theology, philosophy"
15471,http://www.wikidata.org/entity/Q542763,J. G. Farrell,1935,male,United Kingdom,Europe,"novelist, prose writer, writer","belletristic literature, novel"
15473,http://www.wikidata.org/entity/Q106634,Friedrich Kambartel,1935,male,Germany,Europe,"mathematician, philosopher, university teacher","educational system, philosophy"
15478,http://www.wikidata.org/entity/Q20670088,Kim Lefèvre,1935,female,France,Europe,"actor, novelist, translator, writer","French fiction, French literature, French prose literature, acting, belletristic literature, translation, translation into French"
15479,http://www.wikidata.org/entity/Q1440995,Francesco Conz,1935,male,Kingdom of Italy,Europe,"collector, publisher","literature, visual arts"
15485,http://www.wikidata.org/entity/Q469565,Sandra Harding,1935,female,United States,North America,"philosopher, publisher, university teacher, writer","epistemology, feminism, feminist philosophy, philosophy, philosophy of science, postcolonialism, standpoint theory"
15489,http://www.wikidata.org/entity/Q5336706,Eddy Zemach,1935,male,Israel,Asia,"aesthetician, art theorist, philosopher, writer","aesthetics, art theory, epistemology, philosophy, philosophy of language"
15492,http://www.wikidata.org/entity/Q11702233,Raúl Guerra Garrido,1935,male,Spain,Europe,"essayist, novelist, pharmacist, writer","creative and professional writing, pharmacy"
15494,http://www.wikidata.org/entity/Q9312235,Roman Darowski,1935,male,Poland,Europe,"Catholic priest, philosopher, university teacher",history of philosophy
15497,http://www.wikidata.org/entity/Q717522,Arvo Valton,1935,male,Soviet Union,Europe,"poet, politician, screenwriter, writer","literature, prose, short story"
15516,http://www.wikidata.org/entity/Q3504842,Enrico Berti,1935,male,Italy,Europe,"philosopher, university teacher","ancient philosophy, philosophy"
15519,http://www.wikidata.org/entity/Q259956,Carol Shields,1935,female,United States,North America,"biographer, novelist, poet, university teacher, writer",narration
15525,http://www.wikidata.org/entity/Q4442027,Marietta Stepanyants,1935,female,Soviet Union,Europe,"orientalist, philosopher, university teacher","history of philosophy, oriental studies, philosophy"
15528,http://www.wikidata.org/entity/Q4133027,Chung-ying Cheng,1935,male,United States,North America,"philosopher, university teacher, writer",philosophy
15529,http://www.wikidata.org/entity/Q3567184,Lefteris Papadopoulos,1935,male,Greece,Europe,"journalist, lyricist, poet, television presenter, writer",literature
15530,http://www.wikidata.org/entity/Q70059784,Denise Lardner Carmody,1935,female,United States,North America,"philosopher, theologian, university teacher, women's rights activist","religion, women's studies"
15532,http://www.wikidata.org/entity/Q335436,Mohamed Choukri,1935,male,Spanish protectorate in Morocco,Africa,"novelist, playwright, radio personality, teacher, translator, writer","hispanism, novelist, teaching, writer"
15534,http://www.wikidata.org/entity/Q353777,Josef Topol,1935,male,Czechoslovakia,Europe,"dramaturge, playwright, poet, translator","literature, translating activity"
15537,http://www.wikidata.org/entity/Q263201,Monique Wittig,1935,female,France,Europe,"activist, essayist, novelist, philosopher, university teacher, writer","French literature, essay, feminism, gender studies"
15545,http://www.wikidata.org/entity/Q516128,Taeko Tomioka,1935,female,Japan,Asia,"critic, novelist, poet, screenwriter, writer",poetry
15562,http://www.wikidata.org/entity/Q85134039,Zygmunt Hajduk,1935,male,Poland,Europe,"Catholic priest, philosopher, university teacher","Catholic Church, natural philosophy"
15565,http://www.wikidata.org/entity/Q559129,Tufan Miñnullin,1935,male,Soviet Union,Europe,"opinion journalist, playwright, politician, screenwriter, writer","drama, literature, opinion journalism"
15574,http://www.wikidata.org/entity/Q546511,Daniel Quinn,1935,male,United States,North America,"autobiographer, novelist, writer","American prose literature, philosophy and literature"
15578,http://www.wikidata.org/entity/Q43302497,Sophie Oluwole,1935,female,Nigeria,Africa,"academic, philosopher","science, technology, engineering, and mathematics"
15579,http://www.wikidata.org/entity/Q2192737,Per Agne Erkelius,1935,male,Sweden,Europe,"novelist, playwright, writer","creative and professional writing, literature"
15580,http://www.wikidata.org/entity/Q161819,Julie Andrews,1935,female,United Kingdom,Europe,"actor, film actor, music director, novelist, screenwriter, singer, stage actor, television presenter, voice actor, writer",musical theater
15582,http://www.wikidata.org/entity/Q66288,Rudolf Bahro,1935,male,German Democratic Republic,Europe,"journalist, philosopher, politician, writer",social philosophy
15584,http://www.wikidata.org/entity/Q16551899,Emilio Pasquini,1935,male,Italy,Europe,"academic, literary scholar, philologist, philosopher, university teacher","Italian, Italian literature, Italian philology, cultural history"
15597,http://www.wikidata.org/entity/Q319186,Jerry Fodor,1935,male,United States,North America,"academic, philosopher, university teacher",philosophy
15598,http://www.wikidata.org/entity/Q7416537,Sandra Bartky,1935,female,United States,North America,"feminist, philosopher, university teacher",feminist philosophy
15599,http://www.wikidata.org/entity/Q597863,Ernest Bryll,1935,male,Poland,Europe,"diplomat, essayist, film critic, journalist, playwright, poet, translator, writer","film criticism, literature, translating activity"
15603,http://www.wikidata.org/entity/Q313001,David Lodge,1935,male,United Kingdom,Europe,"literary critic, novelist, playwright, screenwriter, university teacher, writer","literary activity, literary criticism, literary theory"
15606,http://www.wikidata.org/entity/Q7969034,Ward Just,1935,male,United States,North America,"journalist, novelist, war correspondent, writer","creative and professional writing, journalism, war journalism"
15607,http://www.wikidata.org/entity/Q66619152,Juan Antonio Widow,1935,male,Chile,South America,"academic, philosopher, writer","metaphysics, political philosophy"
15609,http://www.wikidata.org/entity/Q449522,Eiko Kadono,1935,female,Japan,Asia,"essayist, translator, writer","English literature, children's and youth literature, literary activity, literature, non-fiction literature, translating activity"
15610,http://www.wikidata.org/entity/Q5649658,Hans-Martin Sass,1935,male,United States,North America,"editor, ethicist, university teacher","bioethics, philosophy"
15614,http://www.wikidata.org/entity/Q454836,Mary Oliver,1935,female,United States,North America,"novelist, poet, writer","literature, poetry"
15615,http://www.wikidata.org/entity/Q562074,Barry Stroud,1935,male,United States,North America,"philosopher, university teacher","metaphysics, philosophy, skepticism"
15616,http://www.wikidata.org/entity/Q2560757,Werner Adam,1935,male,Germany,Europe,"editing staff, journalist, writer","editing, journalism, literature, world news"
15619,http://www.wikidata.org/entity/Q3143052,Mohammed Abed al-Jabri,1935,male,Morocco,Africa,"journalist, philosopher, university teacher, writer","Arab philosophy, educational sciences, philosophy"
15623,http://www.wikidata.org/entity/Q4079297,Eduard Batalov,1935,male,Soviet Union,Europe,"Americanist, political scientist, university teacher, writer","international relations, philosophy, political philosophy, political science"
15632,http://www.wikidata.org/entity/Q1101521,Bernard Pivot,1935,male,France,Europe,"journalist, literary critic, television presenter, writer","journalism, literature"
15634,http://www.wikidata.org/entity/Q1160760,György Lőrinczy,1935,male,United States,North America,"photographer, writer","literature, photography"
15641,http://www.wikidata.org/entity/Q260976,Gábor Karátson,1935,male,Hungary,Europe,"painter, teacher, translator, writer","literature, visual arts"
