,personUri,personLabel,birthYear,gender,countries,continents,occupations,fields
134,http://www.wikidata.org/entity/Q79107,Thaddäus Haenke,1761,male,Austrian Empire,Europe,"botanist, cartographer, ethnographer, explorer, geographer, naturalist, physician, traveler, writer, zoologist","botany, literature, medicine, natural science, travel"
138,http://www.wikidata.org/entity/Q77381,Gottlob Ernst Schulze,1761,male,Saxe-Weimar-Eisenach,Europe,"philosopher, university teacher",philosophy
141,http://www.wikidata.org/entity/Q367109,Jan Potocki,1761,male,Polish–Lithuanian Commonwealth,Europe,"anthropologist, archaeologist, engineer, historian, writer","aristocrat, history of Europe, literature, travel"
142,http://www.wikidata.org/entity/Q1694191,Karl Spazier,1761,male,Germany,Europe,"composer, pedagogue, philosopher, singer, writer","music, philosophy, theology"
143,http://www.wikidata.org/entity/Q946113,Samuel Elisée Bridel-Brideri,1762,male,Switzerland,Europe,"botanist, librarian, poet, writer","botany, bryology, literature, poetry"
144,http://www.wikidata.org/entity/Q102585,Johann Gottlieb Fichte,1762,male,Germany,Europe,"philosopher, university teacher, writer",philosophy
154,http://www.wikidata.org/entity/Q97151,Lazarus Bendavid,1762,male,Kingdom of Prussia,Europe,"mathematician, philosopher, university teacher","mathematics, philosophy"
158,http://www.wikidata.org/entity/Q458822,Susanna Rowson,1762,female,United States,North America,"geographer, novelist, poet, stage actor, writer",poetry
162,http://www.wikidata.org/entity/Q9369688,Johann Wenzel Hann,1763,male,Austrian Empire,Europe,"aesthetician, philosopher, poet, translator, university teacher","aesthetics, creative and professional writing, philosophy, translating activity"
164,http://www.wikidata.org/entity/Q3180563,Johann Gottlieb Buhle,1763,male,Duchy of Brunswick,Europe,"librarian, philosopher, university teacher",philosophy
165,http://www.wikidata.org/entity/Q77079,Jean Paul,1763,male,Holy Roman Empire,Europe,"novelist, poet, writer","creative and professional writing, libretto, poetry, prose"
168,http://www.wikidata.org/entity/Q9303544,Rajmund Brzozowski,1763,male,Polish–Lithuanian Commonwealth,Europe,"mathematician, philologist, philosopher","mathematics, philology"
170,http://www.wikidata.org/entity/Q1721700,Karl Friedrich Benkowitz,1764,male,Germany,Europe,"playwright, writer","drama, literature"
172,http://www.wikidata.org/entity/Q77476,Friedrich von Gentz,1764,male,Kingdom of Prussia,Europe,"philosopher, politician, writer",politics
173,http://www.wikidata.org/entity/Q231944,Ann Radcliffe,1764,female,Kingdom of Great Britain,Europe,"novelist, writer","Gothic novel, literary activity"
177,http://www.wikidata.org/entity/Q3340578,Nicolas Massias,1764,male,France,Europe,"diplomat, philosopher, writer","diplomacy, literature, philosophy"
178,http://www.wikidata.org/entity/Q63784,Barbara von Krüdener,1764,female,Russian Empire,North America,"politician, writer",literature
181,http://www.wikidata.org/entity/Q3140232,Honoré Riouffe,1764,male,France,Europe,"jurist, lawyer, official, philosopher, poet, politician, writer","law, philosophy, poetry, politics"
183,http://www.wikidata.org/entity/Q318057,Paolo Ruffini,1765,male,Papal States,Europe,"mathematician, philosopher, physician",algebra
184,http://www.wikidata.org/entity/Q333732,James Mackintosh,1765,male,Kingdom of Great Britain,Europe,"historian, philosopher, physician, politician, writer","history, medicine, philosophy"
187,http://www.wikidata.org/entity/Q215035,Karl Daub,1765,male,Germany,Europe,"philosopher, university teacher",Protestant theology
188,http://www.wikidata.org/entity/Q1539900,Gottlob Adolf Ernst von Nostitz und Jänkendorf,1765,male,Germany,Europe,"jurist, politician, writer","law, literature, politics, public administration"
189,http://www.wikidata.org/entity/Q132138,Anne Bannerman,1765,female,Kingdom of Great Britain,Europe,"novelist, poet, writer",poetry
195,http://www.wikidata.org/entity/Q1874986,Ludwig Schubart,1765,male,Germany,Europe,"diplomat, journalist, official, translator, writer","diplomacy, journalism, literature"
196,http://www.wikidata.org/entity/Q22978322,Louise Brayer de Saint-Léon,1765,female,France,Europe,"novelist, writer",creative and professional writing
198,http://www.wikidata.org/entity/Q71704,Friedrich Immanuel Niethammer,1766,male,Kingdom of Württemberg,Europe,"pedagogue, philosopher, politician, teacher, theologian, university teacher","philosophy, theology"
201,http://www.wikidata.org/entity/Q69547,Friedrich Ludewig Bouterwek,1766,male,Kingdom of Hanover,Europe,"university teacher, writer",philosophy
202,http://www.wikidata.org/entity/Q382582,Maine de Biran,1766,male,France,Europe,"mathematician, philosopher, politician, psychologist, writer","mathematics, philosophy, politics, psychology"
206,http://www.wikidata.org/entity/Q3189181,Amélie-Julie Candeille,1767,female,France,Europe,"actor, composer, playwright, singer, writer","literature, music"
207,http://www.wikidata.org/entity/Q20830458,Sebastian Girtler,1767,male,Polish–Lithuanian Commonwealth,Europe,"philosopher, physician, university teacher","medicine, veterinary medicine"
208,http://www.wikidata.org/entity/Q77888,Wilhelm von Humboldt,1767,male,Kingdom of Prussia,Europe,"anthropologist, diplomat, historian, linguist, philosopher, politician, teacher, translator, writer","diplomacy, linguistics, philosophy, politics, translating activity"
